x,Ábaco 6
0,1.66306
0.01434,1.74111
0.07206,1.83743
0.10981,1.88642
0.16819,1.944
0.24436,2.00269
0.29133,2.0337
0.36303,2.06444
0.44675,2.08661
0.54056,2.10407
0.64702,2.12126
0.77742,2.13347
0.95038,2.14487
1.15109,2.15406
1.37545,2.16185
1.63091,2.1682
1.88764,2.17281
2.11158,2.17591
2.36757,2.17775
2.57958,2.17957
2.78531,2.18138
3,2.18144
