x,Ábaco 1
2.8763,0.61855
2.9775,0.59859
3.4687,0.5175
3.6112,0.4971
3.9687,0.45191
4.4672,0.39762
4.9746,0.3546
5.4787,0.31582
5.9793,0.28269
6.4793,0.25229
6.9802,0.22682
7.4845,0.19943
7.9872,0.17488
8.4972,0.15125
8.9999,0.13329
9.4993,0.11886
10,0.10861
